rank,name,age,team,position
266,Mattias Janmark,32,EDM,C
267,Patrick Kane,36,DET,RW
268,Eetu Luostarinen,26,FLA,C
269,Jack McBain,25,UTA,C
270,Bobby McMann,28,TOR,F
271,Mason McTavish,22,ANA,C
272,Niko Mikkola,28,FLA,D
273,Ivan Provorov,28,CBJ,D
274,Rasmus Sandin,24,WSH,D
275,Jordan Staal,36,CAR,C
276,Brandon Tanev,33,SEA,LW
277,Josh Anderson,30,MTL,RW
278,Philip Broberg,23,STL,D
279,Paul Cotter,25,NJD,C
280,Charlie Coyle,32,BOS,C
281,Oliver Ekman-Larsson,33,TOR,D
282,Joel Eriksson Ek,28,MIN,C
283,Marcus Foligno,33,MIN,LW
284,Gustav Forsling,28,FLA,D
285,Nick Jensen,34,OTT,D
286,Marcus Johansson,34,MIN,C
287,Jacob Middleton,29,MIN,D
288,Connor Murphy,31,CHI,D
289,Gustav Nyquist,35,NSH,RW
290,Tanner Pearson,32,VEG,LW
291,Marcus Pettersson,28,PIT,D
292,Nicolas Roy,27,VEG,C
293,William Smith,19,SJS,C
294,Jared Spurgeon,35,MIN,D
295,Sam Steel,26,DAL,C
296,Vladimir Tarasenko,33,DET,RW
297,Devon Toews,30,COL,D
298,Alex Turcotte,23,LAK,C
299,Nikolai Kovalenko,25,SJS,RW
300,Lars Eller,35,WSH,C
301,Kevin Bahl,24,CGY,D
302,Zach Benson,19,BUF,LW
303,Zachary Bolduc,21,STL,C
304,André Burakovsky,29,SEA,LW
305,Leo Carlsson,20,ANA,C
306,Noah Cates,25,PHI,LW
307,Filip Chytil,25,NYR,C
308,Jason Dickinson,29,CHI,C
309,Max Domi,29,TOR,LW
310,Joel Farabee,24,PHI,LW
311,Alex Iafallo,31,WPG,C
312,Alexander Kerfoot,30,UTA,C
313,Joel Kiviranta,28,COL,F
314,Chris Kreider,33,NYR,LW
315,Kevin Labanc,29,CBJ,RW
316,Blake Lizotte,27,PIT,C
317,Andrew Mangiapane,28,WSH,LW
318,Ilya Mikheyev,30,CHI,F
319,Victor Olofsson,29,VEG,RW
320,Michael Rasmussen,25,DET,C
321,Jeff Skinner,32,EDM,LW
322,Olen Zellweger,21,ANA,D
323,Zach Aston-Reese,30,CBJ,C
324,Anthony Beauvillier,27,PIT,LW
325,Jackson Blake,21,CAR,RW
326,Jesper Boqvist,26,FLA,C
327,Jonas Brodin,31,MIN,D
328,Brent Burns,39,CAR,D
329,Mitchell Chaffee,27,TBL,F
330,Ross Colton,28,COL,C
331,Nick Cousins,31,OTT,C
332,Brenden Dillon,34,NJD,D
333,Nic Dowd,34,WSH,C
334,Vince Dunn,28,SEA,D
335,Christian Dvorak,28,MTL,C
336,Jordan Eberle,34,SEA,RW
337,Trent Frederic,26,BOS,C
338,Garnet Hathaway,33,PHI,RW
339,Erik Haula,33,NJD,LW
340,Seth Jones,30,CHI,D
341,Mark Kastelic,25,BOS,C
342,Johnathan Kovacevic,27,NJD,D
343,Brett Kulak,31,EDM,D
344,Jackson LaCombe,24,ANA,D
345,Brett Leason,25,ANA,RW
346,Esa Lindell,30,DAL,D
347,Max Pacioretty,36,TOR,LW
348,Corey Perry,39,EDM,RW
349,Vasily Podkolzin,23,EDM,RW
350,Ryan Poehling,26,PHI,C
351,Martin Pospisil,25,CGY,C
352,Ryan Pulock,30,NYI,D
353,Jack Quinn,23,BUF,RW
354,Darren Raddysh,28,TBL,D
355,Lukas Reichel,22,CHI,LW
356,Mackie Samoskevich,22,FLA,RW
357,Nick Seeler,31,PHI,D
358,Brady Skjei,30,NSH,D
359,Trevor van Riemsdyk,33,WSH,D
360,Jakub Vrána,28,WSH,LW
361,Michael Amadio,28,OTT,C
362,Michael Anderson,25,LAK,D
363,Cody Ceci,31,SJS,D
364,Joel Edmundson,31,LAK,D
365,Justin Faulk,32,STL,D
366,Conor Geekie,20,TBL,C
367,Adam Henrique,34,EDM,C
368,Cole Koepke,26,BOS,LW
369,Peyton Krebs,24,BUF,C
370,Andrei Kuzmenko,28,CGY,F
371,Matias Maccelli,24,UTA,LW
372,J.J. Moser,24,TBL,D
373,Drew O'Connor,26,PIT,F
374,Nicklaus Perbix,26,TBL,D
375,Brandon Saad,32,STL,LW
376,Jaccob Slavin,30,CAR,D
377,Craig Smith,35,CHI,C
378,Jordan Spence,23,LAK,D
379,Kevin Stenlund,28,UTA,C
380,Chris Tanev,35,TOR,D
381,Trevor Zegras,23,ANA,C
382,Oskar Back,24,DAL,C
383,William Carrier,30,CAR,LW
384,Jalen Chatfield,28,CAR,D
385,Ian Cole,35,UTA,D
386,Kirby Dach,24,MTL,C
387,Jack Drury,24,CAR,C
388,A.J. Greer,28,FLA,LW
389,Ridly Greig,22,OTT,C
390,Alexander Holtz,23,VEG,RW
391,Filip Hronek,27,VAN,D
392,Parker Kelly,25,COL,F
393,Sean Kuraly,32,CBJ,C
394,Zachary L'Heureux,21,NSH,LW
395,Patrik Laine,26,MTL,RW
396,Pat Maroon,36,CHI,LW
397,Jake McCabe,31,TOR,D
398,Ryan McDonagh,35,TBL,D
399,Thomas Novak,27,NSH,C
400,Logan O'Connor,28,COL,RW
401,Shane Pinto,24,OTT,C
402,Nicholas Robertson,23,TOR,LW
403,David Savard,34,MTL,D
404,Braden Schneider,23,NYR,D
405,Yegor Sharangovich,26,CGY,C
406,Nico Sturm,29,SJS,C
407,Tomáš Tatar,34,NJD,LW
408,James van Riemsdyk,35,CBJ,LW
409,Nikita Zadorov,29,BOS,D
410,Alexandre Carrier,28,NSH,D
411,Cam Fowler,33,STL,D
412,Uvis Balinskis,28,FLA,D
413,John Beecher,23,BOS,C
414,Nick Bjugstad,32,UTA,C
415,Colin Blackwell,31,DAL,C
416,T.J. Brodie,34,CHI,D
417,Michael Carcone,28,UTA,F
418,Erik Černák,27,TBL,D
419,Declan Chisholm,25,MIN,D
420,Dennis Cholowski,26,NYI,D
421,Justin Danforth,31,CBJ,RW
422,Brandon Duhaime,27,WSH,RW
